0.1 5.4136 5.4136 5.3066
0.2 4.80795 4.80795 4.67581
0.3 4.43837 4.43837 4.28471
0.4 4.17054 4.17054 3.99726
0.5 3.96036 3.96036 3.76873
0.6 3.78754 3.78754 3.57852
0.7 3.64101 3.64101 3.41534
0.8 3.51401 3.51401 3.27233
0.9 3.40211 3.40211 3.14496
1 3.30224 3.30224 3.03009
1 3.30224 3.30224 3.03009
2 2.65984 2.65984 2.25581
3 2.30617 2.30617 1.79152
4 2.07047 2.07047 1.45858
5 1.89811 1.89811 1.19858
6 1.76474 1.76474 0.984927
7 1.65752 1.65752 0.803274
8 1.56904 1.56904 0.645005
9 1.49421 1.49421 0.504546
10 1.42995 1.42995 0.378087
20 1.06911 1.06911 2.1386e-05
30 0.904593 0.904593 0.000657057
40 0.806147 0.806147 0
50 0.738951 0.738951 0
60 0.689506 0.689506 4.15686e-06
70 0.651121 0.651121 0
80 0.620301 0.620301 7.146e-05
90 0.596091 0.596091 5.92699e-06
