1 5.48046 5.2735 11.225 0 15.0787 0
2 4.55005 4.29602 9.64281 0 13.0337 0
3 4.01777 3.7223 8.70929 0 11.8331 0
4 3.65321 3.32085 8.05432 7.6848 11.0105 0
5 3.38102 3.01561 7.55557 7.17273 10.3735 0
6 3.16693 2.77177 7.1567 6.70298 9.86404 0
7 2.99247 2.57042 6.82699 6.30687 9.44431 0
8 2.8469 2.40014 6.54841 5.96573 9.08915 0
9 2.72264 2.25351 6.30797 5.66711 8.78203 7.74921
10 2.61505 2.12543 6.09771 5.40241 8.51295 7.72918
20 1.99563 1.3693 4.84502 3.75555 6.8963 5.67113
30 1.70443 1.00779 4.22735 2.90816 6.08724 4.48458
40 1.52752 0.790465 3.84157 2.37628 5.57641 3.72353
50 1.40563 0.644112 3.57066 2.00743 5.21467 3.187
60 1.31534 0.538419 3.36711 1.73525 4.94103 2.78588
70 1.2449 0.458337 3.20654 1.52557 4.72396 2.47356
80 1.18813 0.395486 4.79389 1.35882 7.53039 2.22295
90 1.14397 0.344807 2.97384 1.2229 4.40755 2.01712
