0.1 2.66929 2.94376 5.21928 5.4136 7.74807 8.36521
0.2 2.26506 2.53747 4.60855 4.80795 7.38381 7.5519
0.3 2.02491 2.29466 4.23513 4.43837 6.88345 7.05215
0.4 1.85489 2.12202 3.96395 4.17054 6.51261 6.68736
0.5 1.72418 1.98887 3.75068 3.96036 6.21857 6.39906
0.6 1.61866 1.88111 3.57494 3.78754 5.97438 6.16042
0.7 1.53064 1.79105 3.4256 3.64101 5.76532 5.95676
0.8 1.45548 1.71404 3.29588 3.51401 5.58244 5.77915
0.9 1.39014 1.64701 3.18134 3.40211 5.41985 5.62174
1 1.33254 1.58789 3.0789 3.30224 5.2735 5.48046
1 1.33254 1.58789 3.0789 3.30224 5.2735 5.48046
2 0.978153 1.22408 2.41312 2.65984 4.29602 4.55005
3 0.79421 1.03659 2.03936 2.30617 3.7223 4.01777
4 0.675232 0.916719 1.78606 2.07047 3.32085 3.65321
5 0.589641 0.831554 1.59813 1.89811 3.01561 3.38102
6 0.524027 0.767052 1.45088 1.76474 2.77177 3.16693
7 0.471547 0.716038 1.33119 1.65752 2.57042 2.99247
8 0.42828 0.674488 1.2313 1.56904 2.40014 2.8469
9 0.391785 0.639727 1.14623 1.49421 2.25351 2.72264
10 0.360452 0.610135 1.07263 1.42995 2.12543 2.61505
11 0.333165 0.584559 1.00813 1.37399 2.01225 2.5207
12 0.309123 0.562175 0.951003 1.32469 1.9113 2.43707
13 0.287735 0.542377 0.899962 1.28085 1.82051 2.36228
14 0.268549 0.524709 0.85401 1.24153 1.7383 2.29488
15 0.251218 0.508819 0.812368 1.20601 1.66342 2.23372
16 0.235465 0.49443 0.774414 1.17372 1.59485 2.17791
17 0.221069 0.481371 0.739649 1.14431 1.53179 2.1269
18 0.207851 0.469381 0.707661 1.11723 1.47353 2.07976
19 0.195663 0.458352 0.678111 1.09225 1.41953 2.03614
20 0.184382 0.448164 0.650715 1.06911 1.3693 1.99563
21 0.173903 0.438681 0.625232 1.04752 1.32244 1.95774
22 0.164141 0.429929 0.601458 1.02755 1.2786 1.9226
23 0.15502 0.421723 0.579219 1.00879 1.23749 1.88951
24 0.146475 0.414039 0.558362 0.991196 1.19884 1.85841
25 0.138451 0.406828 0.538759 0.974651 1.16243 1.82911
26 0.1309 0.400041 0.520293 0.959056 1.12806 1.80144
27 0.123779 0.393641 0.502864 0.944324 1.09556 1.77526
28 0.11705 0.387591 0.486384 0.93038 1.06477 1.75044
29 0.110682 0.381861 0.470775 0.917157 1.03555 1.72686
30 0.104644 0.376424 0.455966 0.904593 1.00779 1.70443
31 0.0989104 0.371257 0.441896 0.892638 0.981369 1.68305
32 0.0934582 0.366337 0.428508 0.881243 0.956192 1.66264
33 0.0882663 0.361646 0.415752 0.870366 0.932171 1.64314
34 0.0833158 0.357166 0.403584 0.859968 0.909225 1.62448
35 0.0785899 0.352922 0.391961 0.850108 0.887281 1.60676
36 0.0740729 0.348828 0.380849 0.840588 0.866273 1.58963
37 0.069751 0.344904 0.370211 0.831456 0.84614 1.57319
38 0.0656115 0.34114 0.360018 0.822687 0.826828 1.55738
39 0.0616426 0.337524 0.350243 0.814258 0.808285 1.54217
40 0.0578338 0.334047 0.340858 0.806147 0.790465 1.52752
41 0.0541754 0.330701 0.33184 0.798335 0.773326 1.51339
42 0.0506583 0.327478 0.323168 0.790805 0.756829 1.49977
43 0.0472743 0.32437 0.314822 0.783539 0.740937 1.48661
44 0.0440158 0.321371 0.306783 0.776522 0.725617 1.47389
45 0.0408759 0.318474 0.299035 0.769741 0.710837 1.46159
46 0.037848 0.315675 0.291561 0.763183 0.69657 1.44969
47 0.0349261 0.312966 0.284347 0.756836 0.682787 1.43816
48 0.0321046 0.310357 0.277379 0.750717 0.669466 1.42704
49 0.0293783 0.307805 0.270644 0.74473 0.656581 1.41615
50 0.0267424 0.305343 0.264132 0.738951 0.644112 1.40563
51 0.0241924 0.302956 0.25783 0.733343 0.632039 1.39541
52 0.0217241 0.300638 0.251729 0.727896 0.620342 1.38549
53 0.0193335 0.298387 0.245819 0.722605 0.609004 1.37584
54 0.017017 0.296199 0.240091 0.71746 0.598009 1.36645
55 0.014771 0.29411 0.234537 0.712545 0.58734 1.35748
56 0.0125925 0.292047 0.229148 0.707688 0.576984 1.34861
57 0.0104783 0.290039 0.223918 0.70296 0.566926 1.33997
58 0.00842559 0.288085 0.218839 0.698355 0.557154 1.33155
59 0.00643168 0.286182 0.213904 0.693868 0.547655 1.32334
60 0.00449405 0.284327 0.209109 0.689506 0.538419 1.31534
61 0.00261031 0.282519 0.204446 0.685242 0.529433 1.30753
62 0.000778216 0.280756 0.19991 0.681082 0.520688 1.29991
63 0 0.279035 0.195496 0.677022 0.512174 1.29246
64 0 0.277356 0.191199 0.673058 0.503882 1.28519
65 0 0.275717 0.187014 0.669186 0.495804 1.27809
66 0 0.274115 0.182938 0.665402 0.48793 1.27114
67 0 0.272559 0.178965 0.661724 0.480254 1.26439
68 0 0.271031 0.175092 0.658111 0.472768 1.25775
69 0 0.269536 0.171316 0.654578 0.465464 1.25126
70 0 0.268075 0.167632 0.651121 0.458337 1.2449
71 0 0.266645 0.164037 0.647738 0.451379 1.23868
72 0 0.265246 0.160528 0.644426 0.444585 1.23259
73 0 0.263876 0.157101 0.641182 0.437949 1.22662
74 0 0.262534 0.153755 0.638005 0.431465 1.22077
75 0 0.26122 0.150486 0.634893 0.425129 1.21503
76 0 0.259933 0.147291 0.631843 0.418935 1.20941
77 0 0.258645 0.144168 0.628849 0.412878 1.20391
