0.1 5.4136 8.36521 12.6523 5.40389 8.35155 12.6668 5.3066 8.33276 12.8737
0.2 4.80795 7.5519 11.5549 4.7973 7.53676 11.5695 4.67581 7.50467 11.7843
0.3 4.43837 7.05215 10.8789 4.42709 7.03591 10.893 4.28471 6.99093 11.1098
0.4 4.17054 6.68736 10.3837 4.15877 6.67018 10.3972 3.99726 6.6126 10.6132
0.5 3.96036 6.39906 9.99107 3.94818 6.38103 10.0037 3.76873 6.31109 10.2173
0.6 3.78754 6.16042 9.66489 3.77501 6.1416 9.67652 3.57852 6.05949 9.88666
0.7 3.64101 5.95676 9.38557 3.62816 5.93718 9.3961 3.41534 5.84311 9.60202
0.8 3.51401 5.77915 9.14117 3.50086 5.75885 9.15052 3.27233 5.65298 9.35162
0.9 3.40211 5.62174 8.92385 3.38867 5.60074 8.93196 3.14496 5.48323 9.1278
1 3.30224 5.48046 8.72819 3.28854 5.45877 8.73501 3.03009 5.32979 8.92523
1 3.30224 5.48046 8.72819 3.28854 5.45877 8.73501 3.03009 5.32979 8.92523
2 2.65984 4.55005 7.42144 2.64381 4.52195 7.41379 2.25581 4.28519 7.53746
3 2.30617 4.01777 6.6557 2.28782 3.98347 6.63238 1.79152 3.64964 6.68328
4 2.07047 3.65321 6.12147 2.04976 3.61283 6.08246 1.45858 3.1902 6.06018
5 1.89811 3.38102 5.71661 1.87504 3.33476 5.66236 1.19858 2.82997 5.56825
6 1.76474 3.16693 5.3942 1.73934 3.115 5.32535 0.984927 2.53359 5.16137
7 1.65752 2.99247 5.1287 1.62984 2.93512 5.04595 0.803274 2.28175 4.81429
8 1.56904 2.8469 4.90513 1.53896 2.78406 4.80875 0.645005 2.06275 4.51162
9 1.49421 2.72264 4.71277 1.46192 2.65472 4.6037 0.504546 1.86893 4.24325
10 1.42995 2.61505 4.54502 1.3955 2.54225 4.42389 0.378087 1.69505 4.00219
20 1.06911 1.99563 3.55611 1.01653 1.88348 3.34134 2.1386e-05 0.534691 2.39716
30 0.904593 1.70443 3.07614 0.838907 1.56497 2.79957 0.000657057 0.00103807 1.44323
40 0.806147 1.52752 2.77933 0.730513 1.36778 2.45832 0 0.00201285 0.756167
50 0.738951 1.40563 2.57239 0.655611 1.23037 2.21798 0 0 0.214181
60 0.689506 1.31534 2.41776 0.599842 1.12748 2.03676 4.15686e-06 0 1.61016e-05
70 0.651121 1.2449 2.29632 0.556257 1.04677 1.89386 0 0 0.000179234
80 0.620301 1.18813 2.19791 0.520972 0.981228 1.77738 7.146e-05 0 0.00119021
90 0.596091 1.14397 3.23913 0.49165 0.926639 1.68006 5.92699e-06 0 9.56834e-05
